TICKER,date,PRC
HCP,2023-02-13,30.9600
HCP,2023-02-14,33.5000
HCP,2023-02-15,34.9000
HCP,2023-02-16,32.4300
HCP,2023-02-17,30.6900
HCP,2023-02-21,30.4300
HCP,2023-02-22,30.7500
HCP,2023-02-23,30.0100
HCP,2023-02-24,28.3700
HCP,2023-02-27,28.7400
HCP,2023-02-28,29.2000
HCP,2023-03-01,28.8900
HCP,2023-03-02,29.3700
HCP,2023-03-03,31.6500
HCP,2023-03-06,32.4600
HCP,2023-03-07,31.9200
HCP,2023-03-08,31.4300
HCP,2023-03-09,29.7300
HCP,2023-03-10,27.9300
HCP,2023-03-13,29.2500
HCP,2023-03-14,29.0800
HCP,2023-03-15,29.6900
HCP,2023-03-16,31.1300
HCP,2023-03-17,29.7400
HCP,2023-03-20,29.3800
HCP,2023-03-21,30.3300
HCP,2023-03-22,28.1500
HCP,2023-03-23,29.6200
HCP,2023-03-24,28.1100
HCP,2023-03-27,27.9000
HCP,2023-03-28,27.2500
HCP,2023-03-29,27.7700
HCP,2023-03-30,27.8700
HCP,2023-03-31,29.2900
HCP,2023-04-03,29.0400
HCP,2023-04-04,28.6600
HCP,2023-04-05,26.3100
HCP,2023-04-06,26.6500
HCP,2023-04-10,27.7800
HCP,2023-04-11,27.3800
HCP,2023-04-12,27.2200
HCP,2023-04-13,27.4800
HCP,2023-04-14,26.7200
HCP,2023-04-17,27.8200
HCP,2023-04-18,28.3900
HCP,2023-04-19,28.8400
HCP,2023-04-20,27.7500
HCP,2023-04-21,28.7400
HCP,2023-04-24,27.3700
HCP,2023-04-25,26.5900
HCP,2023-04-26,27.4900
HCP,2023-04-27,28.6700
HCP,2023-04-28,26.8100
HCP,2023-05-01,27.1300
HCP,2023-05-02,26.6200
HCP,2023-05-03,27.0200
HCP,2023-05-04,28.6300
HCP,2023-05-05,29.1000
HCP,2023-05-08,29.6900
HCP,2023-05-09,30.6300
HCP,2023-05-10,31.6900
HCP,2023-05-11,32.2000
HCP,2023-05-12,31.1800
HCP,2023-05-15,31.1400
HCP,2023-05-16,30.8900
HCP,2023-05-17,31.9500
HCP,2023-05-18,32.6500
HCP,2023-05-19,32.7300
HCP,2023-05-22,32.9400
HCP,2023-05-23,32.7500
HCP,2023-05-24,32.7900
HCP,2023-05-25,32.7400
HCP,2023-05-26,32.9800
HCP,2023-05-30,33.7000
HCP,2023-05-31,34.3400
HCP,2023-06-01,34.8500
HCP,2023-06-02,34.6800
HCP,2023-06-05,34.5100
HCP,2023-06-06,35.4900
HCP,2023-06-07,34.7700
HCP,2023-06-08,25.7800
HCP,2023-06-09,26.6200
HCP,2023-06-12,26.7400
HCP,2023-06-13,29.5600
HCP,2023-06-14,28.9400
HCP,2023-06-15,29.9000
HCP,2023-06-16,28.5600
HCP,2023-06-20,27.6300
HCP,2023-06-21,26.4400
HCP,2023-06-22,26.9200
HCP,2023-06-23,26.2700
HCP,2023-06-26,25.0500
HCP,2023-06-27,25.6900
HCP,2023-06-28,25.7900
HCP,2023-06-29,25.5500
HCP,2023-06-30,26.1800
HCP,2023-07-03,26.1600
HCP,2023-07-05,26.3700
HCP,2023-07-06,25.3300
HCP,2023-07-07,25.4700
HCP,2023-07-10,26.3500
HCP,2023-07-11,27.6100
HCP,2023-07-12,28.5200
HCP,2023-07-13,28.6100
HCP,2023-07-14,27.7800
HCP,2023-07-17,28.8300
HCP,2023-07-18,29.3200
HCP,2023-07-19,29.3100
HCP,2023-07-20,27.7800
HCP,2023-07-21,27.7600
HCP,2023-07-24,27.8800
HCP,2023-07-25,28.5700
HCP,2023-07-26,29.0000
HCP,2023-07-27,28.5100
HCP,2023-07-28,29.2600
HCP,2023-07-31,29.6100
HCP,2023-08-01,29.1800
HCP,2023-08-02,27.9800
HCP,2023-08-03,28.4900
HCP,2023-08-04,29.2400
HCP,2023-08-07,29.9500
HCP,2023-08-08,28.8500
HCP,2023-08-09,28.3200
HCP,2023-08-10,27.9800
HCP,2023-08-11,29.1700
HCP,2023-08-14,29.4200
HCP,2023-08-15,28.4100
HCP,2023-08-16,28.4000
HCP,2023-08-17,27.4100
HCP,2023-08-18,27.7500
HCP,2023-08-21,28.1100
HCP,2023-08-22,28.0600
HCP,2023-08-23,28.8200
HCP,2023-08-24,28.3200
HCP,2023-08-25,28.9300
HCP,2023-08-28,28.1200
HCP,2023-08-29,28.6900
HCP,2023-08-30,29.1400
HCP,2023-08-31,29.1600
HCP,2023-09-01,27.6500
HCP,2023-09-05,27.8200
HCP,2023-09-06,26.8700
HCP,2023-09-07,26.1100
HCP,2023-09-08,25.9100
HCP,2023-09-11,26.1600
HCP,2023-09-12,25.7700
HCP,2023-09-13,25.4800
HCP,2023-09-14,25.1700
HCP,2023-09-15,25.0900
HCP,2023-09-18,24.9200
HCP,2023-09-19,24.6900
HCP,2023-09-20,23.9000
HCP,2023-09-21,23.2600
HCP,2023-09-22,23.0000
HCP,2023-09-25,22.9000
HCP,2023-09-26,22.4900
HCP,2023-09-27,22.6500
HCP,2023-09-28,22.7600
HCP,2023-09-29,22.8300
HCP,2023-10-02,23.3200
HCP,2023-10-03,22.7500
HCP,2023-10-04,22.8400
HCP,2023-10-05,22.3500
HCP,2023-10-06,22.2500
HCP,2023-10-09,21.8000
HCP,2023-10-10,22.2200
HCP,2023-10-11,22.4900
HCP,2023-10-12,21.4600
HCP,2023-10-13,21.3000
HCP,2023-10-16,21.9800
HCP,2023-10-17,21.7900
HCP,2023-10-18,21.0800
HCP,2023-10-19,20.8900
HCP,2023-10-20,20.2300
HCP,2023-10-23,20.3800
HCP,2023-10-24,21.4100
HCP,2023-10-25,20.2400
HCP,2023-10-26,19.8200
HCP,2023-10-27,19.5900
HCP,2023-10-30,19.6500
HCP,2023-10-31,19.6900
HCP,2023-11-01,19.6100
HCP,2023-11-02,19.2000
HCP,2023-11-03,19.6800
HCP,2023-11-06,19.3400
HCP,2023-11-07,20.4000
HCP,2023-11-08,20.2900
HCP,2023-11-09,19.6000
HCP,2023-11-10,20.1700
HCP,2023-11-13,19.9300
HCP,2023-11-14,20.4600
HCP,2023-11-15,20.8800
HCP,2023-11-16,20.5700
HCP,2023-11-17,20.7500
HCP,2023-11-20,21.0300
HCP,2023-11-21,21.1700
HCP,2023-11-22,20.8900
HCP,2023-11-24,21.3000
HCP,2023-11-27,20.9900
HCP,2023-11-28,21.2900
HCP,2023-11-29,21.6900
HCP,2023-11-30,21.4200
HCP,2023-12-01,24.0200
HCP,2023-12-04,24.1500
HCP,2023-12-05,24.8900
HCP,2023-12-06,24.9100
HCP,2023-12-07,24.9000
HCP,2023-12-08,20.8100
HCP,2023-12-11,21.2900
HCP,2023-12-12,20.8900
HCP,2023-12-13,21.7400
HCP,2023-12-14,23.0600
HCP,2023-12-15,22.9000
HCP,2023-12-18,22.1200
HCP,2023-12-19,22.8000
HCP,2023-12-20,22.7000
HCP,2023-12-21,23.4500
HCP,2023-12-22,23.4300
HCP,2023-12-26,24.2600
HCP,2023-12-27,24.5000
HCP,2023-12-28,24.4100
HCP,2023-12-29,23.6400
HCP,2024-01-02,22.8500
HCP,2024-01-03,22.0300
HCP,2024-01-04,21.7700
HCP,2024-01-05,21.8500
HCP,2024-01-08,22.4200
HCP,2024-01-09,22.1800
HCP,2024-01-10,23.1300
HCP,2024-01-11,22.8300
HCP,2024-01-12,22.4700
HCP,2024-01-16,21.7200
HCP,2024-01-17,21.5900
HCP,2024-01-18,21.9600
HCP,2024-01-19,21.6700
HCP,2024-01-22,21.6600
HCP,2024-01-23,22.2500
HCP,2024-01-24,22.5700
HCP,2024-01-25,22.4000
HCP,2024-01-26,22.6400
HCP,2024-01-29,23.4600
HCP,2024-01-30,22.5800
HCP,2024-01-31,21.8600
HCP,2024-02-01,22.4800
HCP,2024-02-02,23.2300
HCP,2024-02-05,22.9000
HCP,2024-02-06,22.9900
HCP,2024-02-07,22.8600
HCP,2024-02-08,24.2600
HCP,2024-02-09,24.7300
HCP,2024-02-12,24.7400
HCP,2024-02-13,23.5400
HCP,2024-02-14,24.2200
HCP,2024-02-15,24.4400
HCP,2024-02-16,23.6600
HCP,2024-02-20,22.6900
HCP,2024-02-21,22.5500
HCP,2024-02-22,21.6100
HCP,2024-02-23,22.1200
HCP,2024-02-26,25.2200
HCP,2024-02-27,26.0300
HCP,2024-02-28,26.5800
HCP,2024-02-29,26.0700
HCP,2024-03-01,25.8700
HCP,2024-03-04,25.4300
HCP,2024-03-05,23.9600
HCP,2024-03-06,26.5600
HCP,2024-03-07,26.3200
HCP,2024-03-08,26.5800
HCP,2024-03-11,26.0900
HCP,2024-03-12,26.7900
HCP,2024-03-13,26.3600
HCP,2024-03-14,25.7400
HCP,2024-03-15,26.5000
HCP,2024-03-18,28.6400
HCP,2024-03-19,28.0800
HCP,2024-03-20,27.6800
HCP,2024-03-21,27.1100
HCP,2024-03-22,27.1100
HCP,2024-03-25,26.9300
HCP,2024-03-26,27.0200
HCP,2024-03-27,27.0000
HCP,2024-03-28,26.9500
HCP,2024-04-01,25.8100
HCP,2024-04-02,25.7800
HCP,2024-04-03,25.5200
HCP,2024-04-04,25.6600
HCP,2024-04-05,25.8100
HCP,2024-04-08,26.3000
HCP,2024-04-09,26.9700
HCP,2024-04-10,26.3500
HCP,2024-04-11,26.1000
HCP,2024-04-12,24.5500
HCP,2024-04-15,23.4300
HCP,2024-04-16,23.6600
HCP,2024-04-17,23.5300
HCP,2024-04-18,23.6300
HCP,2024-04-19,23.9700
HCP,2024-04-22,24.5500
HCP,2024-04-23,29.1500
HCP,2024-04-24,31.4100
HCP,2024-04-25,32.8200
HCP,2024-04-26,32.5900
HCP,2024-04-29,32.5900
HCP,2024-04-30,32.4600
HCP,2024-05-01,32.6200
HCP,2024-05-02,32.8200
HCP,2024-05-03,32.8500
HCP,2024-05-06,32.7900
HCP,2024-05-07,32.8000
HCP,2024-05-08,32.8100
HCP,2024-05-09,32.7600
HCP,2024-05-10,32.8000
HCP,2024-05-13,32.9100
HCP,2024-05-14,32.8100
HCP,2024-05-15,32.9100
HCP,2024-05-16,32.9300
HCP,2024-05-17,33.0400
HCP,2024-05-20,33.1400
HCP,2024-05-21,33.3000
HCP,2024-05-22,33.3500
HCP,2024-05-23,33.2700
HCP,2024-05-24,33.3900
HCP,2024-05-28,33.4700
HCP,2024-05-29,33.4700
HCP,2024-05-30,33.5500
HCP,2024-05-31,33.5800
HCP,2024-06-03,33.6900
HCP,2024-06-04,33.7000
HCP,2024-06-05,33.7900
HCP,2024-06-06,33.7500
HCP,2024-06-07,33.7800
HCP,2024-06-10,33.7100
HCP,2024-06-11,33.6200
HCP,2024-06-12,33.9900
HCP,2024-06-13,33.6500
HCP,2024-06-14,33.6300
HCP,2024-06-17,33.6000
HCP,2024-06-18,33.5600
HCP,2024-06-20,33.2800
HCP,2024-06-21,33.4100
HCP,2024-06-24,33.4800
HCP,2024-06-25,33.4400
HCP,2024-06-26,33.4900
HCP,2024-06-27,33.5000
HCP,2024-06-28,33.6900
HCP,2024-07-01,33.6600
HCP,2024-07-02,33.6200
HCP,2024-07-03,33.7500
HCP,2024-07-05,33.7100
HCP,2024-07-08,33.7000
HCP,2024-07-09,33.3700
HCP,2024-07-10,33.3600
HCP,2024-07-11,33.6100
HCP,2024-07-12,33.7300
HCP,2024-07-15,33.4800
HCP,2024-07-16,33.4600
HCP,2024-07-17,33.4500
HCP,2024-07-18,33.4900
HCP,2024-07-19,33.4800
HCP,2024-07-22,33.5200
HCP,2024-07-23,33.5900
HCP,2024-07-24,33.5500
HCP,2024-07-25,33.5500
HCP,2024-07-26,33.5900
HCP,2024-07-29,33.5800
HCP,2024-07-30,33.6600
HCP,2024-07-31,33.7500
HCP,2024-08-01,33.7600
HCP,2024-08-02,33.6700
HCP,2024-08-05,33.5300
HCP,2024-08-06,33.5100
HCP,2024-08-07,33.5000
HCP,2024-08-08,33.6000
HCP,2024-08-09,33.6700
HCP,2024-08-12,33.6500
HCP,2024-08-13,33.7000
HCP,2024-08-14,33.7300
HCP,2024-08-15,33.7500
HCP,2024-08-16,33.7800
HCP,2024-08-19,33.9400
HCP,2024-08-20,33.8400
HCP,2024-08-21,33.9400
HCP,2024-08-22,33.8700
HCP,2024-08-23,33.9000
HCP,2024-08-26,33.8000
HCP,2024-08-27,33.8400
HCP,2024-08-28,33.8000
HCP,2024-08-29,33.8000
HCP,2024-08-30,33.9400
HCP,2024-09-03,33.8400
HCP,2024-09-04,33.8400
HCP,2024-09-05,33.7300
HCP,2024-09-06,33.6500
HCP,2024-09-09,33.8200
HCP,2024-09-10,33.8600
HCP,2024-09-11,33.8400
HCP,2024-09-12,33.7900
HCP,2024-09-13,33.8400
HCP,2024-09-16,33.9900
HCP,2024-09-17,33.9400
HCP,2024-09-18,33.9200
HCP,2024-09-19,33.9400
HCP,2024-09-20,33.8900
HCP,2024-09-23,33.8200
HCP,2024-09-24,33.8300
HCP,2024-09-25,33.8400
HCP,2024-09-26,33.8700
HCP,2024-09-27,33.9000
HCP,2024-09-30,33.8600
HCP,2024-10-01,33.8400
HCP,2024-10-02,33.8600
HCP,2024-10-03,33.8800
HCP,2024-10-04,33.9300
HCP,2024-10-07,33.8700
HCP,2024-10-08,33.9800
HCP,2024-10-09,33.9300
HCP,2024-10-10,33.9700
HCP,2024-10-11,33.9400
HCP,2024-10-14,33.8400
HCP,2024-10-15,33.8600
HCP,2024-10-16,33.7600
HCP,2024-10-17,33.7900
HCP,2024-10-18,33.7400
HCP,2024-10-21,33.8300
HCP,2024-10-22,33.8100
HCP,2024-10-23,33.6900
HCP,2024-10-24,33.6700
HCP,2024-10-25,33.6800
HCP,2024-10-28,33.9000
HCP,2024-10-29,33.9100
HCP,2024-10-30,33.9400
HCP,2024-10-31,33.8600
HCP,2024-11-01,33.9200
HCP,2024-11-04,33.8300
HCP,2024-11-05,33.8500
HCP,2024-11-06,34.0700
HCP,2024-11-07,34.0400
HCP,2024-11-08,34.0600
HCP,2024-11-11,34.0800
HCP,2024-11-12,34.0800
HCP,2024-11-13,34.0000
HCP,2024-11-14,33.9000
HCP,2024-11-15,33.7400
HCP,2024-11-18,33.6000
HCP,2024-11-19,33.6100
HCP,2024-11-20,33.8200
HCP,2024-11-21,33.8500
HCP,2024-11-22,33.9200
HCP,2024-11-25,33.9200
HCP,2024-11-26,33.7700
HCP,2024-11-27,33.5800
HCP,2024-11-29,33.6200
HCP,2024-12-02,33.5900
HCP,2024-12-03,33.5700
HCP,2024-12-04,33.5800
HCP,2024-12-05,33.6300
HCP,2024-12-06,33.7800
HCP,2024-12-09,33.6400
HCP,2024-12-10,33.6200
HCP,2024-12-11,33.7600
HCP,2024-12-12,33.8200
HCP,2024-12-13,33.7800
HCP,2024-12-16,33.8400
HCP,2024-12-17,33.9000
HCP,2024-12-18,34.0800
HCP,2024-12-19,34.2200
HCP,2024-12-20,34.2700
HCP,2024-12-23,34.2400
HCP,2024-12-24,34.2400
HCP,2024-12-26,34.1800
HCP,2024-12-27,34.1900
HCP,2024-12-30,34.2100
HCP,2024-12-31,34.2100
HCP,2025-01-02,34.1700
HCP,2025-01-03,34.3800
HCP,2025-01-06,34.2600
HCP,2025-01-07,34.3200
HCP,2025-01-08,34.3300
HCP,2025-01-10,34.3100
HCP,2025-01-13,34.2800
