firm,ticker,quarter_end,revenue_ltm,growth_yoy,op_margin_ltm,market_cap,net_debt,ev,ev_rev,log_ev_rev,priced_at,priced_at_filing,log_ev_rev_qend,log_rev,active_contributors,top_author_share,contributor_gini,bus_factor_50,churn_gini,release_cadence,merge_share,commit_volume,secret_incidence,repo_health_index_z,repo_health_index_pca
elastic,ESTC,2022-10-31,977781000.0,0.3324897792313981,-0.22002882035956928,5320856504.766632,-289211000.0,5031645504.766632,5.14598412606364,1.6382166291411608,2022-12-02,1,1.5763225849628633,20.700796276543468,265,0.0682,0.7674,18,0.7719,38,0.0139,4807,0.0,0.28612087240876677,0.24212646895455128
elastic,ESTC,2023-01-31,1028403000.0,0.2844938167365909,-0.2320471643898355,6094263513.921532,-310400000.0,5783863513.921532,5.624121588444931,1.7270647738416862,2023-03-03,1,1.682750712648431,20.751272950504614,278,0.072,0.7833,18,0.7608,32,0.02,5044,0.0,0.321966163301714,0.19410012940382168
elastic,ESTC,2023-04-30,1068989000.0,0.23958862396129743,-0.20502736697945442,6355504284.73114,-76624000.0,6278880284.73114,5.873662203007833,1.7704783239740092,2023-06-16,1,1.6204093438727534,20.78997917894573,283,0.0811,0.7886,19,0.7547,27,0.0245,5339,0.0,0.33479611225172634,0.15082766976083783
elastic,ESTC,2023-07-31,1112661000.0,0.21025604768534634,-0.17505601436556148,7274155650.445045,-62759000.0,7211396650.445045,6.481216336732433,1.868908199035432,2023-09-01,1,1.7109229631445497,20.830020280634994,291,0.0871,0.7905,19,0.7399,24,0.0257,5709,0.0,0.3736140012258321,0.06256858509122071
elastic,ESTC,2023-10-31,1158872000.0,0.1852060942071896,-0.14435502799273778,10855550994.37828,-21613000.0,10833937994.37828,9.348692516842481,2.235236495751525,2023-12-01,1,1.8131335941665931,20.870712955170564,287,0.1055,0.7926,18,0.7425,26,0.0182,6608,0.0,0.3083619971428425,-0.08127568147527406
elastic,ESTC,2024-01-31,1212263000.0,0.1787820533390121,-0.10257345147051423,11595598773.798752,41448000.0,11637046773.798752,9.599440693808813,2.261704835714967,2024-03-01,1,2.3243370244684196,20.915754697752824,282,0.109,0.7873,18,0.7467,29,0.0143,7248,0.0,0.283331749812182,-0.09404985558222492
elastic,ESTC,2024-04-30,1267321000.0,0.18553231137083737,-0.10250126053304569,11377606685.989616,28215000.0,11405821685.989616,8.999946884798419,2.1972186756297396,2024-06-14,1,2.1198684010792697,20.96017106057704,271,0.1024,0.768,20,0.7512,34,0.0111,7589,0.0,0.298589218801575,0.009045883971410415
elastic,ESTC,2024-07-31,1320988000.0,0.18723312850904272,-0.09651336726753006,7793051352.367859,-25984000.0,7767067352.367859,5.879741036533154,1.7715127195347582,2024-08-30,1,2.065280181207256,21.001645778418087,277,0.1024,0.7639,21,0.7574,35,0.0099,8260,0.0,0.2928993114230328,0.07605296223227209
elastic,ESTC,2024-10-31,1375737000.0,0.1871345584326829,-0.08023335855617753,11248283328.398956,-89343000.0,11158940328.398956,8.111245338606839,2.0932514122706087,2024-11-25,1,1.7873255278928954,21.042255424468255,287,0.0918,0.7634,23,0.7629,32,0.0164,8302,0.0,0.3256705197981514,0.2390342129484703
elastic,ESTC,2025-01-31,1429863000.0,0.17949900310411193,-0.06197376951498151,12008676241.949982,-14565000.0,11994111241.949982,8.388294012748062,2.126837164016709,2025-02-28,1,2.093771647598664,21.080844472432908,307,0.0664,0.7655,24,0.7691,31,0.0299,8506,0.1176,-0.07602142483053287,0.8105315293416535
elastic,ESTC,2025-04-30,1483296000.0,0.17041854431513404,-0.03702699933121912,8229702617.289917,-157814000.0,8071888617.289917,5.441859626999545,1.694120845651223,2025-06-10,1,1.7384566679169087,21.11753247560039,296,0.0587,0.7562,24,0.7716,38,0.0351,8641,0.1157,-0.06543339027157721,0.8462886968705603
elastic,ESTC,2025-07-31,1551164000.0,0.1742453375806594,-0.019678125588267908,9013117169.044006,-92322000.0,8920795169.044006,5.751032881786843,1.7493794702925354,2025-08-29,1,1.6820725304574924,21.162271453784317,317,0.044,0.7495,26,0.7782,43,0.0369,8045,0.1243,-0.05638329976463243,1.0743346582588802
elastic,ESTC,2025-10-31,1609284000.0,0.16976137154121762,-0.021334953929822206,7495524486.02066,-230280000.0,7265244486.02066,4.5145819420442015,1.5073125894577328,2025-11-24,1,1.7489975240331317,21.1990551965284,337,0.034,0.7345,30,0.7702,59,0.0319,8183,0.1222,0.04266774356403724,1.2136789829509027
elastic,ESTC,2026-01-31,1677082000.0,0.172896983836913,-0.01734262248357564,5502937782.017967,-166639000.0,5336298782.017967,3.1818949711570257,1.157476922192036,2026-02-27,1,1.4000248118663072,21.240321215431667,324,0.0324,0.7143,31,0.7852,64,0.0169,7859,0.0,0.47860416187458343,0.9518838171695447
elastic,ESTC,2026-04-30,1739331000.0,0.17261220956572387,-0.019246480399647912,6356993643.270874,-197830000.0,6159163643.270874,3.5411107162873967,1.2644404395958926,2026-06-08,1,1.0403212167680487,21.276766393481783,349,0.0268,0.7088,35,0.8242,61,0.0084,8933,0.0,0.40592464223409097,1.268178874691338
gitlab,GTLB,2022-07-31,333044000.0,,-0.5442914449742376,7974951679.999999,-410757000.0,7564194679.999999,22.712298314937364,3.1229065537681624,2022-09-07,1,3.184068716252623,19.623785171348167,1249,0.019,0.8197,59,0.8618,0,0.4659,46339,0.0,0.6555240548534755,2.448679388399495
gitlab,GTLB,2022-10-31,379225000.0,,-0.5424062232184059,6200713400.0,-372169000.0,5828544400.0,15.369620673742501,2.7323928775935498,2022-12-06,1,2.885194414032928,19.75364025444201,1317,0.0174,0.8195,62,0.8486,0,0.4658,48285,0.0,0.7223912642816731,2.4585606762297596
gitlab,GTLB,2023-01-31,424336000.0,,-0.498216036348554,4898915070.0,-295402000.0,4603513070.0,10.848745027525357,2.384049407630814,2023-03-30,1,2.808466744868905,19.86603615220146,1349,0.017,0.813,67,0.8485,0,0.4708,50730,0.0,0.744814444416056,2.5202381801104647
gitlab,GTLB,2023-04-30,463807000.0,,-0.4889339746920594,7044576480.0,-315933000.0,6728643480.0,14.507421147158192,2.674660321752204,2023-06-06,1,2.224442045303641,19.954979075384188,1319,0.0164,0.8084,69,0.8478,0,0.4814,53161,0.0,0.7505237635867708,2.527452715304636
gitlab,GTLB,2023-07-31,502347000.0,0.5083502480152773,-0.4290380951812194,7632623170.0,-273225000.0,7359398170.0,14.650029103388693,2.6844423220405362,2023-09-06,1,2.6769454899427227,20.034801673922846,1308,0.0166,0.806,71,0.8444,0,0.491,54976,0.0,0.7655389805719988,2.52454236596142
gitlab,GTLB,2023-10-31,539034000.0,0.4214094534906718,-0.36886541479758234,9055200960.0,-285309000.0,8769891960.0,16.26964525428823,2.7893011173231894,2023-12-05,1,2.4677446152475286,20.10528920666119,1290,0.0162,0.8046,72,0.8534,0,0.4987,54921,0.0,0.7379005238057313,2.567775441954034
gitlab,GTLB,2024-01-31,579906000.0,0.3666198484220051,-0.32322479850182617,9115039640.0,-287996000.0,8827043640.0,15.221507692626046,2.7227094074897153,2024-03-26,1,2.9135493279072704,20.178376579404627,1269,0.0164,0.8037,74,0.8515,0,0.5027,54617,0.0,0.746320000874373,2.566590672429497
